"","ROI95lo","ROIavg","ROI95hi","fractaken","badProb","interest"
"214"," 0.06963124"," 0.0733527","0.077074","4.0178e-02","0.030","0.125"
"215"," 0.07046047"," 0.0737825","0.077105","4.7257e-02","0.030","0.120"
"216"," 0.07102486"," 0.0740785","0.077132","5.3369e-02","0.030","0.115"
"217"," 0.07039959"," 0.0733164","0.076233","5.7309e-02","0.030","0.110"
"219","-0.16597327"," 0.1002653","0.366504","2.5466e-05","0.035","0.255"
"220","-0.16597327"," 0.1002653","0.366504","2.5466e-05","0.035","0.250"
"221","-0.02510209"," 0.0613768","0.147856","1.6371e-04","0.035","0.245"
"222","-0.01495964"," 0.0548507","0.124661","2.4010e-04","0.035","0.240"
"223"," 0.01553019"," 0.0760830","0.136636","2.9467e-04","0.035","0.235"
"224"," 0.03315302"," 0.0749746","0.116796","5.7116e-04","0.035","0.230"
"225"," 0.02816083"," 0.0672077","0.106255","6.9121e-04","0.035","0.225"
"226"," 0.03537754"," 0.0673667","0.099356","1.0441e-03","0.035","0.220"
"227"," 0.03448181"," 0.0630414","0.091601","1.2987e-03","0.035","0.215"
"228"," 0.04646140"," 0.0703296","0.094198","1.7389e-03","0.035","0.210"
"229"," 0.05610523"," 0.0770290","0.097953","2.1755e-03","0.035","0.205"
"230"," 0.06294946"," 0.0809663","0.098983","2.8012e-03","0.035","0.200"
"231"," 0.06208520"," 0.0773539","0.092623","3.8308e-03","0.035","0.195"
"232"," 0.06239424"," 0.0756818","0.088969","4.9767e-03","0.035","0.190"
"233"," 0.06437724"," 0.0757868","0.087196","6.5301e-03","0.035","0.185"
"234"," 0.06362194"," 0.0735579","0.083494","8.3273e-03","0.035","0.180"
"235"," 0.06562548"," 0.0742401","0.082855","1.0626e-02","0.035","0.175"
"236"," 0.06899267"," 0.0769373","0.084882","1.2013e-02","0.035","0.170"
"237"," 0.06950988"," 0.0769742","0.084439","1.3366e-02","0.035","0.165"
"238"," 0.06935516"," 0.0761869","0.083019","1.5567e-02","0.035","0.160"
"239"," 0.06853371"," 0.0746568","0.080780","1.8688e-02","0.035","0.155"
"240"," 0.07042823"," 0.0759621","0.081496","2.1762e-02","0.035","0.150"
"241"," 0.06874014"," 0.0739527","0.079165","2.4331e-02","0.035","0.145"
"242"," 0.06999108"," 0.0744513","0.078912","3.0893e-02","0.035","0.140"
"243"," 0.07007697"," 0.0741089","0.078141","3.6310e-02","0.035","0.135"
"244"," 0.06870901"," 0.0723862","0.076063","4.2564e-02","0.035","0.130"
"245"," 0.06895869"," 0.0723855","0.075812","4.7472e-02","0.035","0.125"
"246"," 0.06949344"," 0.0725576","0.075622","5.5926e-02","0.035","0.120"
"247"," 0.06991374"," 0.0727345","0.075555","6.3071e-02","0.035","0.115"
