"","ROI95lo","ROIavg","fractaken","numtaken","badProb","interest","intceil"
"187"," 0.06800","0.0705","2.67e-02","14180","0.0700","0.090","0.140"
"189"," 0.07020","0.0823","1.59e-03","  842","0.0725","0.135","0.140"
"190"," 0.06960","0.0783","3.07e-03"," 1632","0.0725","0.130","0.140"
"191"," 0.07380","0.0800","5.77e-03"," 3062","0.0725","0.125","0.140"
"192"," 0.07510","0.0804","7.34e-03"," 3896","0.0725","0.120","0.140"
"193"," 0.07370","0.0782","1.01e-02"," 5357","0.0725","0.115","0.140"
"194"," 0.07280","0.0767","1.27e-02"," 6768","0.0725","0.110","0.140"
"195"," 0.07170","0.0749","1.71e-02"," 9087","0.0725","0.105","0.140"
"196"," 0.07170","0.0748","1.87e-02"," 9936","0.0725","0.100","0.140"
"197"," 0.06930","0.0720","2.30e-02","12200","0.0725","0.095","0.140"
"198"," 0.06760","0.0699","2.97e-02","15788","0.0725","0.090","0.140"
"200"," 0.06700","0.0788","1.79e-03","  950","0.0750","0.135","0.140"
"201"," 0.06780","0.0763","3.43e-03"," 1819","0.0750","0.130","0.140"
"202"," 0.07200","0.0779","6.40e-03"," 3396","0.0750","0.125","0.140"
"203"," 0.07390","0.0790","8.17e-03"," 4337","0.0750","0.120","0.140"
"204"," 0.07310","0.0774","1.13e-02"," 5995","0.0750","0.115","0.140"
"205"," 0.07230","0.0760","1.42e-02"," 7534","0.0750","0.110","0.140"
"206"," 0.07140","0.0745","1.90e-02","10093","0.0750","0.105","0.140"
"207"," 0.07130","0.0742","2.08e-02","11035","0.0750","0.100","0.140"
"208"," 0.06920","0.0718","2.55e-02","13531","0.0750","0.095","0.140"
"209"," 0.06760","0.0698","3.29e-02","17465","0.0750","0.090","0.140"
"211"," 0.06080","0.0723","2.02e-03"," 1070","0.0775","0.135","0.140"
"212"," 0.06290","0.0710","3.87e-03"," 2054","0.0775","0.130","0.140"
"213"," 0.06940","0.0751","7.17e-03"," 3807","0.0775","0.125","0.140"
"214"," 0.07200","0.0769","9.15e-03"," 4860","0.0775","0.120","0.140"
"215"," 0.07170","0.0757","1.26e-02"," 6687","0.0775","0.115","0.140"
"216"," 0.07130","0.0748","1.58e-02"," 8396","0.0775","0.110","0.140"
"217"," 0.07090","0.0739","2.12e-02","11235","0.0775","0.105","0.140"
"218"," 0.07090","0.0737","2.31e-02","12281","0.0775","0.100","0.140"
"219"," 0.06900","0.0714","2.83e-02","15028","0.0775","0.095","0.140"
"220"," 0.06700","0.0691","3.65e-02","19361","0.0775","0.090","0.140"
"222"," 0.06050","0.0714","2.22e-03"," 1181","0.0800","0.135","0.140"
"223"," 0.06300","0.0708","4.24e-03"," 2249","0.0800","0.130","0.140"
"224"," 0.06970","0.0751","7.90e-03"," 4192","0.0800","0.125","0.140"
"225"," 0.07130","0.0760","1.01e-02"," 5348","0.0800","0.120","0.140"
"226"," 0.07080","0.0747","1.39e-02"," 7387","0.0800","0.115","0.140"
"227"," 0.07020","0.0736","1.75e-02"," 9295","0.0800","0.110","0.140"
"228"," 0.07050","0.0733","2.34e-02","12436","0.0800","0.105","0.140"
"229"," 0.07040","0.0731","2.55e-02","13565","0.0800","0.100","0.140"
"230"," 0.06860","0.0710","3.12e-02","16587","0.0800","0.095","0.140"
"231"," 0.06680","0.0688","4.01e-02","21314","0.0800","0.090","0.140"
"233"," 0.05670","0.0672","2.50e-03"," 1326","0.0825","0.135","0.140"
"234"," 0.06170","0.0691","4.73e-03"," 2513","0.0825","0.130","0.140"
"235"," 0.06910","0.0742","8.77e-03"," 4659","0.0825","0.125","0.140"
"236"," 0.07020","0.0746","1.12e-02"," 5923","0.0825","0.120","0.140"
"237"," 0.06960","0.0733","1.54e-02"," 8197","0.0825","0.115","0.140"
"238"," 0.06910","0.0723","1.94e-02","10290","0.0825","0.110","0.140"
"239"," 0.06960","0.0724","2.58e-02","13719","0.0825","0.105","0.140"
"240"," 0.06940","0.0720","2.82e-02","14972","0.0825","0.100","0.140"
"241"," 0.06790","0.0701","3.44e-02","18270","0.0825","0.095","0.140"
"242"," 0.06620","0.0682","4.40e-02","23383","0.0825","0.090","0.140"
"244"," 0.05560","0.0656","2.76e-03"," 1464","0.0850","0.135","0.140"
"245"," 0.06030","0.0674","5.20e-03"," 2761","0.0850","0.130","0.140"
"246"," 0.06740","0.0724","9.69e-03"," 5145","0.0850","0.125","0.140"
"247"," 0.06900","0.0733","1.23e-02"," 6535","0.0850","0.120","0.140"
"248"," 0.06840","0.0720","1.71e-02"," 9066","0.0850","0.115","0.140"
"249"," 0.06800","0.0711","2.14e-02","11384","0.0850","0.110","0.140"
"250"," 0.06890","0.0715","2.85e-02","15124","0.0850","0.105","0.140"
"251"," 0.06880","0.0712","3.10e-02","16481","0.0850","0.100","0.140"
"252"," 0.06710","0.0693","3.77e-02","20042","0.0850","0.095","0.140"
