"","ROI95lo","ROIavg","fractaken","numtaken","badProb","interest","intceil"
"154"," 0.07190","0.0745","1.96e-02","12829","0.0625","0.090","0.140"
"156"," 0.06400","0.0770","1.25e-03","  817","0.0650","0.135","0.140"
"157"," 0.07210","0.0809","2.57e-03"," 1676","0.0650","0.130","0.140"
"158"," 0.07520","0.0813","4.81e-03"," 3142","0.0650","0.125","0.140"
"159"," 0.07550","0.0812","5.54e-03"," 3620","0.0650","0.120","0.140"
"160"," 0.07480","0.0798","6.92e-03"," 4519","0.0650","0.115","0.140"
"161"," 0.07640","0.0800","1.15e-02"," 7489","0.0650","0.110","0.140"
"162"," 0.07550","0.0788","1.40e-02"," 9134","0.0650","0.105","0.140"
"163"," 0.07550","0.0785","1.60e-02","10435","0.0650","0.100","0.140"
"164"," 0.07330","0.0761","1.85e-02","12063","0.0650","0.095","0.140"
"165"," 0.07180","0.0742","2.23e-02","14560","0.0650","0.090","0.140"
"167"," 0.06190","0.0741","1.43e-03","  934","0.0675","0.135","0.140"
"168"," 0.06930","0.0776","2.92e-03"," 1909","0.0675","0.130","0.140"
"169"," 0.07300","0.0788","5.50e-03"," 3592","0.0675","0.125","0.140"
"170"," 0.07340","0.0787","6.33e-03"," 4136","0.0675","0.120","0.140"
"171"," 0.07300","0.0777","7.90e-03"," 5156","0.0675","0.115","0.140"
"172"," 0.07470","0.0782","1.30e-02"," 8511","0.0675","0.110","0.140"
"173"," 0.07410","0.0771","1.59e-02","10356","0.0675","0.105","0.140"
"174"," 0.07440","0.0772","1.81e-02","11797","0.0675","0.100","0.140"
"175"," 0.07220","0.0748","2.09e-02","13620","0.0675","0.095","0.140"
"176"," 0.07070","0.0730","2.51e-02","16374","0.0675","0.090","0.140"
"178"," 0.05590","0.0677","1.62e-03"," 1060","0.0700","0.135","0.140"
"179"," 0.06690","0.0748","3.29e-03"," 2150","0.0700","0.130","0.140"
"180"," 0.07250","0.0779","6.24e-03"," 4076","0.0700","0.125","0.140"
"181"," 0.07250","0.0775","7.17e-03"," 4681","0.0700","0.120","0.140"
"182"," 0.07210","0.0765","8.95e-03"," 5844","0.0700","0.115","0.140"
"183"," 0.07390","0.0772","1.47e-02"," 9626","0.0700","0.110","0.140"
"184"," 0.07310","0.0760","1.79e-02","11681","0.0700","0.105","0.140"
"185"," 0.07340","0.0761","2.03e-02","13274","0.0700","0.100","0.140"
"186"," 0.07150","0.0740","2.34e-02","15270","0.0700","0.095","0.140"
"187"," 0.07000","0.0722","2.81e-02","18333","0.0700","0.090","0.140"
"189"," 0.05820","0.0692","1.84e-03"," 1199","0.0725","0.135","0.140"
"190"," 0.06550","0.0730","3.72e-03"," 2432","0.0725","0.130","0.140"
"191"," 0.07200","0.0772","7.03e-03"," 4587","0.0725","0.125","0.140"
"192"," 0.07190","0.0767","8.08e-03"," 5276","0.0725","0.120","0.140"
"193"," 0.07120","0.0754","1.01e-02"," 6595","0.0725","0.115","0.140"
"194"," 0.07330","0.0764","1.66e-02","10843","0.0725","0.110","0.140"
"195"," 0.07250","0.0753","2.01e-02","13148","0.0725","0.105","0.140"
"196"," 0.07280","0.0754","2.28e-02","14910","0.0725","0.100","0.140"
"197"," 0.07110","0.0734","2.62e-02","17130","0.0725","0.095","0.140"
"198"," 0.06970","0.0718","3.14e-02","20511","0.0725","0.090","0.140"
"200"," 0.05750","0.0680","2.06e-03"," 1344","0.0750","0.135","0.140"
"201"," 0.06620","0.0732","4.16e-03"," 2715","0.0750","0.130","0.140"
"202"," 0.07110","0.0760","7.87e-03"," 5141","0.0750","0.125","0.140"
"203"," 0.07100","0.0755","9.05e-03"," 5912","0.0750","0.120","0.140"
"204"," 0.07000","0.0739","1.13e-02"," 7401","0.0750","0.115","0.140"
"205"," 0.07230","0.0752","1.85e-02","12098","0.0750","0.110","0.140"
"206"," 0.07180","0.0744","2.24e-02","14649","0.0750","0.105","0.140"
"207"," 0.07190","0.0744","2.54e-02","16599","0.0750","0.100","0.140"
"208"," 0.07050","0.0727","2.92e-02","19078","0.0750","0.095","0.140"
"209"," 0.06890","0.0709","3.49e-02","22794","0.0750","0.090","0.140"
"211"," 0.06000","0.0699","2.28e-03"," 1488","0.0775","0.135","0.140"
"212"," 0.06750","0.0742","4.57e-03"," 2987","0.0775","0.130","0.140"
"213"," 0.07170","0.0763","8.71e-03"," 5684","0.0775","0.125","0.140"
"214"," 0.07110","0.0754","1.00e-02"," 6547","0.0775","0.120","0.140"
"215"," 0.07020","0.0740","1.26e-02"," 8202","0.0775","0.115","0.140"
"216"," 0.07200","0.0748","2.05e-02","13388","0.0775","0.110","0.140"
"217"," 0.07160","0.0741","2.48e-02","16220","0.0775","0.105","0.140"
"218"," 0.07160","0.0739","2.81e-02","18352","0.0775","0.100","0.140"
"219"," 0.07020","0.0723","3.23e-02","21096","0.0775","0.095","0.140"
"220"," 0.06860","0.0705","3.85e-02","25151","0.0775","0.090","0.140"
"222"," 0.06130","0.0706","2.55e-03"," 1666","0.0800","0.135","0.140"
"223"," 0.06610","0.0725","5.12e-03"," 3340","0.0800","0.130","0.140"
"224"," 0.07040","0.0748","9.69e-03"," 6326","0.0800","0.125","0.140"
"225"," 0.06970","0.0738","1.11e-02"," 7260","0.0800","0.120","0.140"
"226"," 0.06930","0.0729","1.39e-02"," 9081","0.0800","0.115","0.140"
"227"," 0.07120","0.0739","2.26e-02","14787","0.0800","0.110","0.140"
"228"," 0.07080","0.0732","2.74e-02","17919","0.0800","0.105","0.140"
"229"," 0.07090","0.0731","3.10e-02","20240","0.0800","0.100","0.140"
"230"," 0.06940","0.0714","3.56e-02","23244","0.0800","0.095","0.140"
"231"," 0.06790","0.0697","4.24e-02","27677","0.0800","0.090","0.140"
"233"," 0.06010","0.0690","2.83e-03"," 1850","0.0825","0.135","0.140"
"234"," 0.06610","0.0721","5.65e-03"," 3691","0.0825","0.130","0.140"
"235"," 0.06970","0.0740","1.07e-02"," 6965","0.0825","0.125","0.140"
"236"," 0.06860","0.0725","1.22e-02"," 7990","0.0825","0.120","0.140"
"237"," 0.06820","0.0716","1.53e-02","10016","0.0825","0.115","0.140"
"238"," 0.07080","0.0733","2.49e-02","16289","0.0825","0.110","0.140"
"239"," 0.07040","0.0727","3.03e-02","19765","0.0825","0.105","0.140"
"240"," 0.07050","0.0726","3.41e-02","22264","0.0825","0.100","0.140"
"241"," 0.06890","0.0709","3.91e-02","25554","0.0825","0.095","0.140"
"242"," 0.06730","0.0691","4.66e-02","30411","0.0825","0.090","0.140"
