"","ROI95lo","ROIavg","fractaken","numtaken","badProb","interest","intceil"
"204"," 0.07090"," 0.07510","1.15e-02"," 6103","0.0750","0.115","0.140"
"205"," 0.07150"," 0.07520","1.44e-02"," 7653","0.0750","0.110","0.140"
"206"," 0.07140"," 0.07450","1.92e-02","10194","0.0750","0.105","0.140"
"207"," 0.07140"," 0.07430","2.10e-02","11153","0.0750","0.100","0.140"
"208"," 0.06870"," 0.07130","2.57e-02","13655","0.0750","0.095","0.140"
"209"," 0.06690"," 0.06910","3.30e-02","17518","0.0750","0.090","0.140"
"211"," 0.06410"," 0.07540","1.99e-03"," 1056","0.0775","0.135","0.140"
"212"," 0.06400"," 0.07220","3.78e-03"," 2009","0.0775","0.130","0.140"
"213"," 0.07050"," 0.07610","7.22e-03"," 3835","0.0775","0.125","0.140"
"214"," 0.07170"," 0.07660","9.22e-03"," 4893","0.0775","0.120","0.140"
"215"," 0.07170"," 0.07570","1.28e-02"," 6784","0.0775","0.115","0.140"
"216"," 0.07220"," 0.07570","1.60e-02"," 8495","0.0775","0.110","0.140"
"217"," 0.07150"," 0.07440","2.13e-02","11309","0.0775","0.105","0.140"
"218"," 0.07140"," 0.07420","2.33e-02","12357","0.0775","0.100","0.140"
"219"," 0.06880"," 0.07130","2.84e-02","15087","0.0775","0.095","0.140"
"220"," 0.06710"," 0.06920","3.64e-02","19301","0.0775","0.090","0.140"
"222"," 0.06620"," 0.07680","2.23e-03"," 1186","0.0800","0.135","0.140"
"223"," 0.06490"," 0.07260","4.22e-03"," 2240","0.0800","0.130","0.140"
"224"," 0.07080"," 0.07610","8.02e-03"," 4258","0.0800","0.125","0.140"
"225"," 0.07180"," 0.07640","1.02e-02"," 5420","0.0800","0.120","0.140"
"226"," 0.07160"," 0.07550","1.41e-02"," 7505","0.0800","0.115","0.140"
"227"," 0.07220"," 0.07550","1.77e-02"," 9402","0.0800","0.110","0.140"
"228"," 0.07130"," 0.07410","2.36e-02","12516","0.0800","0.105","0.140"
"229"," 0.07110"," 0.07380","2.57e-02","13665","0.0800","0.100","0.140"
"230"," 0.06870"," 0.07110","3.14e-02","16657","0.0800","0.095","0.140"
"231"," 0.06720"," 0.06920","4.00e-02","21245","0.0800","0.090","0.140"
