"","ROI95lo","ROIavg","ROI95hi","fractaken","badProb","interest"
"96","0.066265","0.069810","0.073355","0.02135688","0.012","0.115"
"112","0.066716","0.069814","0.072912","0.02750896","0.014","0.110"
"97","0.066557","0.069953","0.073349","0.02278637","0.012","0.110"
"11","0.059132","0.070072","0.081012","0.00194034","0.000","0.090"
"42","0.065407","0.070073","0.074739","0.00998233","0.004","0.085"
"77","0.064615","0.070669","0.076723","0.00854626","0.010","0.135"
"41","0.066065","0.071027","0.075990","0.00918427","0.004","0.090"
"10","0.059746","0.071183","0.082619","0.00181318","0.000","0.095"
"107","0.066362","0.071310","0.076259","0.01285008","0.014","0.135"
"92","0.065906","0.071332","0.076757","0.01060499","0.012","0.135"
"40","0.066287","0.071467","0.076648","0.00865808","0.004","0.095"
"28","0.065634","0.071472","0.077310","0.00587802","0.002","0.080"
"91","0.065317","0.071534","0.077750","0.00844541","0.012","0.140"
"106","0.065925","0.071592","0.077258","0.01024543","0.014","0.140"
"38","0.066055","0.071850","0.077646","0.00740837","0.004","0.105"
"31","0.060157","0.071985","0.083813","0.00233718","0.004","0.140"
"39","0.066792","0.072255","0.077719","0.00799376","0.004","0.100"
"27","0.066134","0.072262","0.078390","0.00553161","0.002","0.085"
"35","0.065808","0.072980","0.080152","0.00531455","0.004","0.120"
"34","0.065114","0.073247","0.081381","0.00434110","0.004","0.125"
"26","0.066758","0.073283","0.079808","0.00508215","0.002","0.090"
"37","0.067010","0.073315","0.079619","0.00649630","0.004","0.110"
"25","0.066615","0.073434","0.080253","0.00479275","0.002","0.095"
"9","0.062092","0.073949","0.085805","0.00167286","0.000","0.100"
"23","0.066452","0.074096","0.081741","0.00407361","0.002","0.105"
"24","0.067015","0.074212","0.081409","0.00442222","0.002","0.100"
"33","0.065396","0.074432","0.083467","0.00362854","0.004","0.130"
"8","0.061937","0.074444","0.086951","0.00153912","0.000","0.105"
"36","0.067930","0.074446","0.080962","0.00611261","0.004","0.115"
"22","0.066828","0.075155","0.083482","0.00356496","0.002","0.110"
"4","0.057617","0.075236","0.092856","0.00090549","0.000","0.125"
"3","0.055405","0.075315","0.095225","0.00075640","0.000","0.130"
"20","0.065868","0.075423","0.084977","0.00289406","0.002","0.120"
"18","0.063448","0.075691","0.087933","0.00196446","0.002","0.130"
"32","0.066052","0.076164","0.086276","0.00295545","0.004","0.135"
"7","0.063037","0.076381","0.089725","0.00135714","0.000","0.110"
"21","0.068362","0.076983","0.085604","0.00334133","0.002","0.115"
"1","0.051398","0.077248","0.103098","0.00045603","0.000","0.140"
"19","0.066895","0.077554","0.088213","0.00239199","0.002","0.125"
"6","0.063875","0.077773","0.091670","0.00126725","0.000","0.115"
"5","0.062437","0.077786","0.093135","0.00109185","0.000","0.120"
"16","0.062941","0.078656","0.094372","0.00124094","0.002","0.140"
"17","0.069262","0.082579","0.095897","0.00159393","0.002","0.135"
"2","0.063721","0.085410","0.107098","0.00059197","0.000","0.135"
